Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Agriornis_albicauda	real	0.350490138972165	1	0.365858499408009	NA	0.5	0.090414536420875	NA	0.5	0.201961695279459	NA	7.87106087642599	0.147268618351056	0.852731381648944	0.175108775101922	res	Xolmiini
Agriornis_lividus	real	0.105922207898699	1	0.209224166485402	NA	0.5	0.0235911915516401	NA	0.5	1.11022302462516e-16	NA	8.05472072855461	0.759307547000737	0.240692452999263	0.585708665953555	res	Xolmiini
Agriornis_micropterus	real	0.259243952114195	1	0.317719606536588	NA	1	0.297677081891619	NA	0.5	0.053825742863565	NA	8.13074930672431	0.713215610935939	0.286784389064061	0.513129485102292	mig	Xolmiini
Agriornis_micropterus	hypo_br	0.29441685096249	0.5	0.245559248848427	NA	0.5	0.279482876649893	NA	0.5	0.129709905572417	NA	NA	0.465182673430903	0.534817326569097	0.613506340063033	mig	Xolmiini
Agriornis_micropterus	hypo_wi	0.323879663469324	0.5	0.265100529012649	NA	0.5	0.000577281350671921	NA	0.5	0.0132024499425019	NA	NA	0.617796139738408	0.382203860261592	0.53561927425595	mig	Xolmiini
Agriornis_montanus	real	0.392631451995332	0.5	0.256241839902922	NA	0.5	0.221319668497864	NA	0.5	0.0146428709763251	NA	8.30378016341688	0.365933991247835	0.634066008752165	0.416641754177744	mig	Xolmiini
Agriornis_montanus	hypo_br	0.341297745100432	0.5	0.263583289482277	NA	0.5	0.23848170624714	NA	0.5	0.0276852323959322	NA	NA	0.408312752637728	0.591687247362272	0.471061570457081	mig	Xolmiini
Agriornis_montanus	hypo_wi	0.347877000587843	0.5	0.269577835976683	NA	0.5	0.00110700630935556	NA	0.5	0.0361095615198104	NA	NA	0.479295697802825	0.520704302197175	0.40978010778241	mig	Xolmiini
Agriornis_murinus	real	0.0164208042791738	1	0.358220680497288	NA	1	0.0342494856943147	NA	1	0.2006639631512	NA	7.88804775187035	0.986526300408489	0.0134736995915108	0.981089185935297	mig	Xolmiini
Agriornis_murinus	hypo_br	0.0913266759238877	1	0.251275891671396	NA	0.5	0.0267833800045478	NA	1	0.191062669917519	NA	NA	0.762421298020639	0.237578701979361	0.852285437546945	mig	Xolmiini
