Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Psophocichla_litsitsirupa	real	0.601465438574728	0.5	0.543429706544056	NA	0.5	0.123572975769287	NA	0.5	0.39390668692266	NA	7.4491828145472	0.0976570231585897	0.90234297684141	0.0344672614378509	res	Turdus
Turdus_abyssinicus	real	0.665480321545065	0.5	0.638681449812579	NA	0.5	0.167545019940227	NA	0.5	0.0129163369329524	NA	7.25942302094817	0.045340959551025	0.954659040448975	0.0541326681364215	res	Turdus
Turdus_albicollis	real	0.581404248848149	0.5	0.463350582979425	NA	0.5	0.0138411171418101	NA	0.5	0.00266557002620182	NA	7.19671977095018	0.10609574040851	0.89390425959149	0.0225521803741406	res	Turdus
Turdus_albocinctus	real	0.347397832377397	0.5	0.327663755849087	NA	0.5	0.0825898041925848	NA	0.5	0	NA	7.10963278447187	0.0135468175034513	0.986453182496549	0.505941081310404	mig	Turdus
Turdus_albocinctus	hypo_br	0.357794375084849	0.5	0.318721658512639	NA	0.5	0.0126444491926569	NA	0.5	0	NA	NA	0.0207910751579582	0.979208924842042	0.485505477402084	mig	Turdus
Turdus_albocinctus	hypo_wi	0.359463774503179	0.5	0.29128298887862	NA	0.5	0.023400057157356	NA	0.5	0.0021746601713637	NA	NA	0.0166046905971811	0.983395309402819	0.48107673053728	mig	Turdus
Turdus_assimilis	real	0.359262898491861	0.5	0.269608980263548	NA	0.5	0	NA	0.5	0.33476681302449	NA	7.44773758191953	0.314556117692124	0.685443882307876	0.279039141894484	res	Turdus
Turdus_atrogularis	real	0.318542032504779	1	0.34780305234332	NA	0.5	1.0119155580135e-05	NA	0.5	0.142543426335518	NA	6.84907296565796	0.440068797261157	0.559931202738843	0.0485438392779156	mig	Turdus
Turdus_atrogularis	hypo_br	0.0581594709603407	1	0.158599627706985	NA	0.5	0	NA	1	0.0746033004783996	NA	NA	0.219496953827372	0.780503046172628	0.763524562305918	mig	Turdus
Turdus_atrogularis	hypo_wi	0	1	0.0685474702119208	NA	1	0	NA	1	0	NA	NA	1	0	1	mig	Turdus
Turdus_boulboul	real	0.351644766957226	0.5	0.20497869765978	NA	0.5	0.242389613799334	NA	0.5	0	NA	7.21753746034956	0.0682524869071113	0.931747513092889	0.407616949987634	mig	Turdus
Turdus_boulboul	hypo_br	0.13072214171958	1	0.203212359703419	NA	0.5	0.106725469366833	NA	0.5	0	NA	NA	0.0468061738230612	0.953193826176939	0.493049504839058	mig	Turdus
Turdus_boulboul	hypo_wi	0.328736979341009	0.5	0.206122624558569	NA	0.5	0.11318700201912	NA	0.5	0	NA	NA	0.109891020681031	0.890108979318969	0.542340838843736	mig	Turdus
Turdus_cardis	real	0.274522299776463	1	0.280859138897088	NA	0.5	0.00834605422565904	NA	0.5	0.0408730013749843	NA	6.81434171183395	0.378914912172203	0.621085087827797	0.731414448439513	mig	Turdus
Turdus_cardis	hypo_br	0.00850365465900105	1	0.224421546424018	NA	0.5	0	NA	0.5	0	NA	NA	0.988046324973411	0.0119536750265887	0.992476910823637	mig	Turdus
Turdus_cardis	hypo_wi	0.0259011131300764	1	0.12933049655468	NA	0.5	0	NA	0.5	0.000383972709648184	NA	NA	0.946605912925416	0.053394087074584	0.96619619328305	mig	Turdus
Turdus_chiguanco	real	0.484710291394067	0.5	0.30363149039623	NA	0.5	0.0190748118033339	NA	0.5	0.218141901032638	NA	7.58950951596817	0.246215655329933	0.753784344670067	0.150112047064318	res	Turdus
Turdus_daguae	real	0.574873098061475	0.5	0.450659368202838	NA	0.5	0	NA	0.5	0.171936323407743	NA	7.07002347984905	0.0228176746256243	0.977182325374376	0.0920089551513376	res	Turdus
Turdus_dissimilis	real	0.14967428876884	1	0.249098428768822	NA	0.5	0.127518697775807	NA	1	0.282369872657595	NA	7.06222820484494	0.157285346620115	0.842714653379885	0.621326466907066	mig	Turdus
Turdus_dissimilis	hypo_br	0.113147260143694	1	0.209393422134376	NA	1	0.206441374495447	NA	0.5	0.0598160066256683	NA	NA	0.165225432903832	0.834774567096168	0.643835687310792	mig	Turdus
Turdus_dissimilis	hypo_wi	0.136079212594288	1	0.236317497230849	NA	1	0.200535274111581	NA	0.5	0.000258272229719303	NA	NA	0.204384994501776	0.795615005498225	0.669647269447243	mig	Turdus
Turdus_eunomus	real	0.338326540964986	1	0.409076011252015	NA	0.5	0	NA	0.5	0.0794329250155581	NA	6.39575402363725	0.457032158581391	0.542967841418609	0.0166075000753886	mig	Turdus
Turdus_eunomus	hypo_br	0.0185520843308736	1	0.279226536260404	NA	1	0.0509350052238143	NA	0.5	7.86446022160714e-06	NA	NA	0.71715373696324	0.28284626303676	0.894164732177594	mig	Turdus
Turdus_eunomus	hypo_wi	0	1	0.234036282357204	NA	1	0	NA	1	0	NA	NA	1	0	1	mig	Turdus
Turdus_falcklandii	real	0.0643258801524657	1	0.158616309350194	NA	0.5	0.00592948625018763	NA	0.5	0.026739729945782	NA	8.07119827902084	0.670474439866807	0.329525560133193	0.506850442504139	res	Turdus
Turdus_feae	real	0.0340778412642366	1	0.141406948349836	NA	1	0.0471142120108943	NA	1	0.0575517008401547	NA	6.93925582095005	0.528170724765737	0.471829275234263	0.883039592848765	mig	Turdus
Turdus_feae	hypo_br	0.00482887325420078	1	0.256628756027275	NA	0.5	0	NA	1	0.0108719326538523	NA	NA	0.506226708537881	0.493773291462119	0.880685718395489	mig	Turdus
Turdus_feae	hypo_wi	0.0185119961035282	1	0.160809061164408	NA	1	0.0214487431880873	NA	0.5	0.00519958035693568	NA	NA	0.588844511601117	0.411155488398883	0.930772711748489	mig	Turdus
Turdus_flavipes	real	0.294936671032172	1	0.456388088012648	NA	0.5	0.0375909288564278	NA	0.5	0.238489769129009	NA	7.28867217528871	0.45983775598408	0.54016224401592	0.0118212260751554	mig	Turdus
Turdus_flavipes	hypo_br	0.322027916918526	1	0.41339378327956	NA	0.5	0.162597273223951	NA	0.5	0.214606615396821	NA	NA	0.397806479707875	0.602193520292125	0.0363558084886147	mig	Turdus
Turdus_flavipes	hypo_wi	0.252555419459729	1	0.364912462685099	NA	0.5	0.144659044636377	NA	1	0.291035013421834	NA	NA	0.485887142713164	0.514112857286836	0.0764918812619663	mig	Turdus
