Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Coloeus_dauuricus	real	0.309618615661956	1	0.625976206335879	NA	0.5	0.272223709800442	NA	0.5	0.0816362596575422	NA	7.18353197402307	0.147354287473384	0.852645712526616	0.406525288086662	mig	Corvus
Coloeus_dauuricus	hypo_br	0.542636211794436	1	0.681612418216928	NA	0.5	0.229992481552057	NA	0.5	0.00711783094348462	NA	NA	0.0595074695130021	0.940492530486998	0.229994444706091	mig	Corvus
Coloeus_dauuricus	hypo_wi	0.421006093191423	1	0.726575783894745	NA	0.5	0.384261976001355	NA	0.5	0.228945756964283	NA	NA	0.0958469693888396	0.90415303061116	0.156887287474859	mig	Corvus
Coloeus_monedula	real	0.318788589570362	0.5	0.145687730281744	NA	0.5	0.0490420283972118	NA	0.5	0.196960838776305	NA	7.02963317354237	0.467244043957085	0.532755956042915	0.0831358436372092	mig	Corvus
Coloeus_monedula	hypo_br	0.277829268798628	0.5	0.141511503846165	NA	0.5	0.00368184206839417	NA	0.5	0.141490217577759	NA	NA	0.539433908599323	0.460566091400677	0.132489792034318	mig	Corvus
Coloeus_monedula	hypo_wi	0.248253827560278	0.5	0.129587244178738	NA	0.5	0.153760289053233	NA	1	0.424482177084722	NA	NA	0.580718568386697	0.419281431613303	0.180005648903075	mig	Corvus
Corvus_albicollis	real	0.53194795401367	1	0.549545608099832	NA	0.5	0.0885685356493497	NA	0.5	0.130644904037706	NA	7.40752664898754	0.0931453084593208	0.906854691540679	0.109277986731329	res	Corvus
Corvus_albus	real	0.661993674561163	0.5	0.390284404847592	NA	0.5	0.245344274928065	NA	0.5	0.0962792256355063	NA	7.76794773083253	0.000185630871632975	0.999814369128367	0.0704501628719593	res	Corvus
Corvus_brachyrhynchos	real	0.576919935539605	0.5	0.362101378735496	NA	0.5	0.493626428543282	NA	0.5	0.0246967539784375	NA	7.57449312127177	0.0427554457546996	0.957244554245301	0.0227015786656246	mig	Corvus
Corvus_brachyrhynchos	hypo_br	0.673248568434417	0.5	0.419331049240346	NA	0.5	0.031516586527873	NA	0.5	0.184768842248697	NA	NA	0.0349436030474313	0.965056396952569	0.0194947164622002	mig	Corvus
Corvus_brachyrhynchos	hypo_wi	0.599440928075549	0.5	0.482424473172924	NA	0.5	0.0675132139058384	NA	0.5	0.193453814155889	NA	NA	0.114691235080587	0.885308764919413	0.020536469185556	mig	Corvus
Corvus_capensis	real	0.821273016959379	0.5	0.530427652081163	NA	0.5	0.150426459369387	NA	0.5	0.545153902039392	NA	7.39430555126704	0.0319938533123614	0.968006146687639	0.0187695899329341	res	Corvus
Corvus_caurinus	real	0.0482391157631292	1	0.1779051111684	NA	0.5	0.0190711538678549	NA	0.5	0	NA	7.77265089696158	0.897345143271532	0.102654856728468	0.81976951032906	res	Corvus
Corvus_corax	real	0.653906707091606	0.5	0.170059417545943	NA	0.5	0.25361143312573	NA	0.5	0.411390795413673	NA	7.33182167051899	0.0279227210437847	0.972077278956215	0.124032856430927	mig	Corvus
Corvus_corax	hypo_br	0.668543809646197	0.5	0.173079438372833	NA	0.5	0.0951462904563337	NA	0.5	0.276618475285189	NA	NA	0.0263673724402917	0.973632627559708	0.124587575119979	mig	Corvus
Corvus_corax	hypo_wi	0.654668071471951	0.5	0.167421224285406	NA	0.5	0.121500592131214	NA	0.5	0.238152530360114	NA	NA	0.0231674420783162	0.976832557921684	0.141995774467846	mig	Corvus
Corvus_cornix	real	0.337409927299679	1	0.418845603457826	NA	0.5	0.0830886425564638	NA	0.5	0.212632560167762	NA	7.0634075091682	0.221154505297603	0.778845494702397	0.0866356687008204	mig	Corvus
Corvus_cornix	hypo_br	0.393767329427287	1	0.549334544234931	NA	0.5	0.142921202014398	NA	0.5	0.189926059589354	NA	NA	0.0632069634408852	0.936793036559115	0.0759160430107286	mig	Corvus
Corvus_cornix	hypo_wi	0.404570641672757	1	0.441616656422884	NA	0.5	0.00893984282256965	NA	0.5	0.193137333357491	NA	NA	0.168092459312983	0.831907540687017	0.164645140855771	mig	Corvus
Corvus_corone	real	0.372591977057647	0.5	0.124542175640875	NA	0.5	0.134930642917359	NA	0.5	0.0751626790583931	NA	7.48100134713968	0.402585148470876	0.597414851529124	0.0600670875992842	mig	Corvus
Corvus_corone	hypo_br	0.350806771826362	0.5	0.126910353550482	NA	0.5	0.142658252993771	NA	0.5	0.168457179822275	NA	NA	0.414645173000707	0.585354826999293	0.0781275739300814	mig	Corvus
Corvus_corone	hypo_wi	0.346778773193052	0.5	0.108263524985143	NA	1	0.431726758647881	NA	1	0.37625256927336	NA	NA	0.463140735543391	0.536859264456609	0.0755327682323356	mig	Corvus
Corvus_coronoides	real	0.288892277008976	0.5	0.126121354994829	NA	0.5	0.171289416040077	NA	1	0.488470144466859	NA	7.85462560747443	0.468940328419606	0.531059671580394	0.478668136620869	res	Corvus
Corvus_crassirostris	real	0.127293195796071	1	0.643649300970924	NA	1	0.159152206309136	NA	0.5	0.00396085890476694	NA	7.29692521679077	0.659714601366627	0.340285398633373	0.735899508298925	res	Corvus
Corvus_cryptoleucus	real	0.166328495336131	1	0.250318826337376	NA	0.5	0	NA	0.5	0.0788631716455546	NA	7.50981679235553	0.505499958213464	0.494500041786536	0.540502041597236	mig	Corvus
Corvus_cryptoleucus	hypo_br	0.160949388418953	1	0.238714726611756	NA	0.5	0.00588195208061537	NA	0.5	0.11814663432695	NA	NA	0.395627640644689	0.604372359355311	0.534796918030895	mig	Corvus
Corvus_cryptoleucus	hypo_wi	0.0684185621390437	1	0.253666911541396	NA	0.5	0	NA	1	0.0954644315551609	NA	NA	0.52815343708289	0.47184656291711	0.762034645839305	mig	Corvus
Corvus_edithae	real	0.766721656654684	1	0.881318854312627	NA	0.5	0.27552378071163	NA	0.5	0.0324191962232447	NA	5.92495467740631	0.0141811656095468	0.985818834390453	0.0454382898944745	res	Corvus
Corvus_enca	real	0.445400686634504	1	0.723817231316545	NA	0.5	0.0120084127956889	NA	0.5	0.0392061334451379	NA	5.66334388624739	0.157199167951424	0.842800832048576	0.0673320135403503	res	Corvus
Corvus_florensis	real	0.0352356302899425	1	0.463304172874632	NA	0.5	0	NA	0.5	1.11022302462516e-16	NA	5.72759716333985	0.883326429322553	0.116673570677447	0.942047824743963	res	Corvus
