Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Alopochelidon_fucata	real	0.543575884	1	0.545073183	NA	1	0.698663179	NA	0.5	0.076866409	NA	7.228355414	0.038664395	0.961335605	0.112593322	mig	Hirundinidae
Alopochelidon_fucata	hypo_br	0.468788608	0.5	0.467260299	NA	1	0.620495865	NA	0.5	0.127748641	NA	NA	0.049775882	0.950224118	0.151364215	mig	Hirundinidae
Alopochelidon_fucata	hypo_wi	0.446105238	1	0.575994139	NA	0.5	0.102642678	NA	0.5	0.048871127	NA	NA	0.051347795	0.948652205	0.200563425	mig	Hirundinidae
Atticora_fasciata	real	0.591285775	0.5	0.288790357	NA	0.5	0.019851762	NA	0.5	0.040673405	NA	7.149105682	0.01889879	0.98110121	0.201922717	res	Hirundinidae
Atticora_melanoleuca	real	0.456997297	0.5	0.305509532	NA	0.5	0.220470277	NA	0.5	0.148158907	NA	7.378315309	0.077070369	0.922929631	0.313595677	res	Hirundinidae
Cecropis_abyssinica	real	0.795987986	0.5	0.597307766	NA	0.5	0.428715759	NA	0.5	0.220152501	NA	7.832611437	0.004987049	0.995012951	0.047037975	mig	Hirundinidae
Cecropis_abyssinica	hypo_br	0.817604394	0.5	0.631378074	NA	0.5	0.178030352	NA	0.5	0.075562733	NA	NA	0.003748513	0.996251487	0.041008687	mig	Hirundinidae
Cecropis_abyssinica	hypo_wi	0.811698437	0.5	0.59326927	NA	0.5	0.568564379	NA	0.5	0.312039814	NA	NA	0.003958709	0.996041291	0.042278591	mig	Hirundinidae
Cecropis_badia	real	0.314821473	1	0.575369278	NA	0.5	0	NA	0.5	0.124359833	NA	5.783037011	0.606755958	0.393244042	0.010540125	res	Hirundinidae
Cecropis_cucullata	real	0.417179303	1	0.452414068	NA	1	0.443521105	NA	0.5	0.026070959	NA	7.344017332	0.115724179	0.884275821	0.366838911	mig	Hirundinidae
Cecropis_cucullata	hypo_br	0.286840092	1	0.482783571	NA	0.5	0.115047579	NA	0.5	0.211889666	NA	NA	0.230652901	0.769347099	0.247463235	mig	Hirundinidae
Cecropis_cucullata	hypo_wi	0.232691924	1	0.259785251	NA	0.5	0.061189322	NA	0.5	0.035742662	NA	NA	0.495176479	0.504823521	0.617707113	mig	Hirundinidae
