Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Amaurospiza_concolor	real	0.192525940241652	1	0.560192423770888	NA	0.5	0.0140525516769511	NA	0.5	0.051927877885347	NA	7.32330752443212	0.0850837712414754	0.914916228758525	0.321047328829795	res	Cardinalidae
Amaurospiza_moesta	real	0.271069270190818	1	0.716823821224952	NA	0.5	0.00139430661487749	NA	1	0.28705219461834	NA	6.71189732606939	0.220073517207189	0.779926482792811	0.533361451809327	res	Cardinalidae
Cardinalis_cardinalis	real	0.393584338098254	0.5	0.364722971007603	NA	0.5	0.336938715905436	NA	0.5	0.119552175508367	NA	7.58091982652703	0.1946045753055	0.8053954246945	0.249757446700141	res	Cardinalidae
Cardinalis_phoeniceus	real	0.177325976486729	1	0.419866233254342	NA	0.5	0.0663858997322395	NA	0.5	0	NA	6.11279291070906	0.372871177502077	0.627128822497923	0.607821877996833	res	Cardinalidae
Cardinalis_sinuatus	real	0.00389863855550299	1	0.131088421406724	NA	0.5	0	NA	1	0.157891038824935	NA	7.71841375205754	0.94207696994239	0.0579230300576095	0.973824153939203	res	Cardinalidae
Caryothraustes_canadensis	real	0.569291465081687	0.5	0.300459406631125	NA	0.5	0.29073799148828	NA	0.5	0.274360256230694	NA	7.18740452094181	0.0473301158834362	0.952669884116564	0.168773162716687	res	Cardinalidae
Caryothraustes_poliogaster	real	0.42520209109833	0.5	0.254227385270714	NA	0.5	0	NA	0.5	0.160572331637106	NA	6.99719973769806	0.361802326949337	0.638197673050663	0.343744653258671	res	Cardinalidae
Chlorothraupis_carmioli	real	0.123799103413203	1	0.281032104571639	NA	0.5	0	NA	0.5	0.0360785842955833	NA	7.37717893574727	0.757089416451269	0.242910583548731	0.79504472199239	res	Cardinalidae
Chlorothraupis_stolzmanni	real	0.437237700413235	1	0.548387236216726	NA	0.5	0	NA	0.5	0.334723664859905	NA	7.13610815137942	0.486786215320983	0.513213784679017	0.112802855585235	res	Cardinalidae
Cyanocompsa_brissonii	real	0.2252591043374	1	0.287384543786281	NA	1	0.466200430672459	NA	1	0.349746428358151	NA	7.55103928567786	0.512725195439838	0.487274804560162	0.340953419679948	res	Cardinalidae
Cyanocompsa_cyanoides	real	0.66483789577272	0.5	0.260763849001993	NA	0.5	0.0568481808419212	NA	0.5	0.218645313552799	NA	6.78899013720206	0.00649421759396337	0.993505782406037	0.11039212674735	res	Cardinalidae
Cyanocompsa_parellina	real	0.381658510538524	0.5	0.206786587884154	NA	0.5	0.000212229983988399	NA	0.5	0	NA	6.99906945511537	0.374129492453269	0.625870507546731	0.348879407050289	res	Cardinalidae
Cyanoloxia_glaucocaerulea	real	0.194374470474889	1	0.290672158041061	NA	0.5	0	NA	0.5	0.0119146113179053	NA	6.94672806252323	0.575341004578063	0.424658995421937	0.607997240726004	mig	Cardinalidae
Cyanoloxia_glaucocaerulea	hypo_br	0.189928024340672	1	0.224641857867373	NA	0.5	0	NA	1	0.198781739714258	NA	NA	0.571268046119323	0.428731953880677	0.633255802193946	mig	Cardinalidae
Cyanoloxia_glaucocaerulea	hypo_wi	0.200707829685315	1	0.242219435409479	NA	0.5	0.00793684824817664	NA	0.5	0.00055348247405651	NA	NA	0.562078626594631	0.437921373405368	0.633821527157731	mig	Cardinalidae
Granatellus_pelzelni	real	0.391791548923468	0.5	0.315521298915753	NA	0.5	0.000543883117832045	NA	0.5	0.21482930642866	NA	7.21272748226514	0.06191191133548	0.93808808866452	0.427114381501408	res	Cardinalidae
Granatellus_venustus	real	0.00611035516103475	1	0.295333997446712	NA	0.5	0.00020957569268909	NA	1	0.237984212047534	NA	7.05476847649737	0.875520301943468	0.124479698056532	0.957525573315976	res	Cardinalidae
Habia_fuscicauda	real	0.262832924357733	1	0.667988953110639	NA	0.5	1.11022302462516e-16	NA	0.5	0.0963231200518958	NA	7.07154917342919	0.355370170182334	0.644629829817666	0.204870701733138	res	Cardinalidae
Habia_gutturalis	real	0.104721786629007	1	0.294257552733479	NA	0.5	0.0659439985574659	NA	0.5	0.0697664360568701	NA	7.17003578850749	0.530748296419043	0.469251703580957	0.193068587608254	res	Cardinalidae
Habia_rubica	real	0.535856618775503	0.5	0.348604290568703	NA	0.5	0.335383172056348	NA	0.5	0.216354473373724	NA	6.87353471506716	0.000629747316234411	0.999370252683766	0.109845402290239	mig	Cardinalidae
Passerina_amoena	real	0.26492157866846	0.5	0.220163062371332	NA	0.5	0	NA	0.5	0.0196317641246134	NA	7.02587066330336	0.27321223681001	0.726787763189989	0.566680499435444	mig	Cardinalidae
Passerina_amoena	hypo_br	0.00924066699152393	1	0.165397579715647	NA	0.5	0	NA	1	0.0343058800804799	NA	NA	0.779101562562204	0.220898437437796	0.904398280103533	mig	Cardinalidae
Passerina_amoena	hypo_wi	0.00434654631216702	1	0.14290446360288	NA	0.5	4.04267434486183e-05	NA	0.5	0	NA	NA	0.992428476870373	0.00757152312962701	0.988313992426194	mig	Cardinalidae
Passerina_caerulea	real	0.180940123360649	1	0.216557935215336	NA	0.5	0.0346734970010141	NA	0.5	0.0537882404124986	NA	7.64226222582994	0.265217322853228	0.734782677146772	0.393450864816872	mig	Cardinalidae
Passerina_caerulea	hypo_br	0.399570736632136	0.5	0.236945424963967	NA	0.5	0	NA	0.5	0.118678394832988	NA	NA	0.264721856837867	0.735278143162133	0.283679349069442	mig	Cardinalidae
Passerina_caerulea	hypo_wi	0.235057047837094	1	0.241975072839498	NA	0.5	0.0126055244151196	NA	0.5	0.223963571049552	NA	NA	0.421931161253832	0.578068838746168	0.382306558379095	mig	Cardinalidae
Passerina_ciris	real	0.117637035357028	1	0.297914758558146	NA	0.5	0	NA	0.5	0.0247819841486555	NA	7.57315255435992	0.632508710365638	0.367491289634362	0.320816911877912	mig	Cardinalidae
Passerina_ciris	hypo_br	0.415300362420968	1	0.421643729538633	NA	0.5	0	NA	0.5	0.232715623880309	NA	NA	0.27329015872662	0.72670984127338	0.246785867072439	mig	Cardinalidae
Passerina_ciris	hypo_wi	0.519288231254509	0.5	0.473274044820913	NA	0.5	0.0486538717075868	NA	0.5	0.0193305032048039	NA	NA	0.10711775150996	0.892882248490039	0.20606224120727	mig	Cardinalidae
Passerina_cyanea	real	0.236599119142082	0.5	0.152893147888253	NA	0.5	0	NA	0.5	0.20783854668938	NA	7.18976817068116	0.233476563256499	0.766523436743501	0.379181581924122	res	Cardinalidae
Passerina_cyanea	hypo_br	0.30885438727412	0.5	0.25082948831734	NA	0.5	0	NA	0.5	0.0543772487917149	NA	NA	0.377496527883461	0.622503472116539	0.423956085877532	res	Cardinalidae
Passerina_cyanea	hypo_wi	0.00650698384744475	1	0.0893450672707701	NA	0.5	0	NA	1	0.0265296039918249	NA	NA	0.947036467994832	0.0529635320051681	0.977284101110973	res	Cardinalidae
Passerina_leclancherii	real	0.00200982016488171	1	0.361397668682684	NA	0.5	0	NA	0.5	0	NA	6.18185707203978	0.988289724751712	0.0117102752482881	0.985565327885342	mig	Cardinalidae
Passerina_versicolor	real	0.0927382896833686	1	0.212579589760739	NA	0.5	0	NA	1	0.210497847788934	NA	7.54081075329135	0.312027777621465	0.687972222378535	0.700142933683897	mig	Cardinalidae
Passerina_versicolor	hypo_br	0.238304762954352	1	0.35539338384877	NA	0.5	0	NA	0.5	0.0399497498311463	NA	NA	0.27224644743396	0.72775355256604	0.443029525520049	mig	Cardinalidae
Passerina_versicolor	hypo_wi	0.170877155252896	1	0.270973236573305	NA	0.5	0	NA	0.5	0.0339759751629417	NA	NA	0.442997713377407	0.557002286622593	0.498745268829946	mig	Cardinalidae
Pheucticus_aureoventris	real	0.24614328888467	1	0.377782544321205	NA	1	0.281615821293652	NA	0.5	0.0151848495580079	NA	7.85706688465366	0.285802334221189	0.714197665778811	0.375778912610509	res	Cardinalidae
Pheucticus_aureoventris	hypo_br	0.329870824159946	1	0.343713353306091	NA	1	0.36472626103538	NA	1	0.334738056817218	NA	NA	0.137647494551463	0.862352505448537	0.400984355187858	res	Cardinalidae
Pheucticus_aureoventris	hypo_wi	0.280361391991183	1	0.335560398274482	NA	0.5	0.16719146717058	NA	1	0.440920040705626	NA	NA	0.160971912775242	0.839028087224758	0.51668624662489	res	Cardinalidae
Pheucticus_chrysogaster	real	0.693480097692126	0.5	0.687336738524967	NA	0.5	0.085345069598011	NA	0.5	0.0824671786805222	NA	7.8333882609731	0.0330641139847715	0.966935886015229	0.118156816033023	mig	Cardinalidae
Pheucticus_chrysopeplus	real	0.0231994019527213	1	0.208335295102183	NA	1	0.122826682579669	NA	1	0.0445234258123827	NA	7.39271991145056	0.600783806076058	0.399216193923942	0.8232763274193	mig	Cardinalidae
