Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling
Agriornis_albicauda	real	0.345947534572414	1	0.517335053582985	NA	0.5	0.272854362730706	NA	0.5	0.0375304965508394	NA	15.8676871881157	8.09985503429518	7.76783215382054	0.038458133765253	0.961541866234747	0.212089403356572
Agriornis_lividus	real	0.449734472320894	0.5	0.43998912245862	NA	0.5	0	NA	0.5	0	NA	15.2622211753076	7.67390974846288	7.58831142684474	0.317507271202341	0.682492728797659	0.152684631312561
Agriornis_micropterus	real	0.46093460419986	1	0.509596781745105	NA	0.5	0.0951043552875305	NA	0.5	0.0375018217326782	NA	15.8325939049264	7.66492686856677	8.1676670363596	0.3160199385589	0.6839800614411	0.0528397838249648
Agriornis_micropterus	hypo_br	0.493690895268222	1	0.525707128062034	NA	0.5	0.21330963947929	NA	0.5	0.338675800535889	NA	NA	NA	NA	0.216974921521921	0.783025078478079	0.200374094802008
Agriornis_micropterus	hypo_wi	0.395781166843711	1	0.46989326523367	NA	0.5	0.0342989743997142	NA	0.5	0.00283053062225591	NA	NA	NA	NA	0.416215573520151	0.583784426479849	0.103437935401415
Agriornis_montanus	real	0.435834150101355	1	0.465534772001385	NA	0.5	0	NA	0.5	0.00930338565874744	NA	16.4449837635901	7.93940028095705	8.5055834826331	0.309229824779219	0.690770175220781	0.026548790981558
Agriornis_montanus	hypo_br	0.433046170209249	1	0.483025027341745	NA	0.5	0.0610149226188694	NA	0.5	0.0409246323628938	NA	NA	NA	NA	0.309054989599804	0.690945010400196	0.0629339253029413
Agriornis_montanus	hypo_wi	0.372186031468516	1	0.431127989251625	NA	0.5	0.252841594988734	NA	0.5	0.00690396325651121	NA	NA	NA	NA	0.41678212136783	0.58321787863217	0.094902949067193
Agriornis_murinus	real	0.35933986631066	1	0.52486025209509	NA	1	0.477201111876202	NA	0.5	0.236778413378848	NA	15.0492324964091	7.48458330172652	7.56464919468262	0.252185014914744	0.747814985085256	0.344779202931972
Agriornis_murinus	hypo_br	0.27179097436381	1	0.618431958015802	NA	0.5	0.254034795382208	NA	0.5	0.125610818602288	NA	NA	NA	NA	0.239836590886395	0.760163409113605	0.432524151281489
Agriornis_murinus	hypo_wi	0.34028790374637	1	0.538023639016913	NA	0.5	0.00145979437601829	NA	0.5	0.0128901019381501	NA	NA	NA	NA	0.349048240144293	0.650951759855707	0.399363343980064
Cnemarchus_erythropygius	real	0.403523843387111	1	0.468973629059967	NA	0.5	0.0823490982885134	NA	0.5	0.216090452652077	NA	15.3753986228887	7.47065424419168	7.90474437869699	0.224762372040269	0.775237627959731	0.000209502171650505
Heteroxolmis_dominicana	real	0.441770616221735	1	0.568453574723517	NA	0.5	0	NA	0.5	0	NA	13.5375772862265	6.8554790796818	6.68209820654475	0.201062035911551	0.798937964088449	0.359899743596201
Hymenops_perspicillatus	real	0.29355512734252	1	0.549963584325014	NA	1	0.494965391433415	NA	0.5	0.27839767649713	NA	15.8178823877828	7.71080518992841	8.10707719785444	0.224367014752071	0.775632985247929	0.122311494056956
Hymenops_perspicillatus	hypo_br	0.338522222899543	1	0.524399197209455	NA	1	0.617163409886418	NA	0.5	0.225827771800853	NA	NA	NA	NA	0.178068221720225	0.821931778279775	0.118138914310993
Hymenops_perspicillatus	hypo_wi	0.234373486417791	1	0.540118149534753	NA	0.5	0.177763682896631	NA	1	0.26302461154272	NA	NA	NA	NA	0.283204609652993	0.716795390347007	0.631534006324638
Knipolegus_aterrimus	real	0.308078638309878	1	0.562879487602217	NA	0.5	0.0233676808150476	NA	1	0.464235099141154	NA	15.8510277568642	7.76841666163894	8.08261109522527	0.264071259809981	0.73592874019002	0.324849413185673
Knipolegus_aterrimus	hypo_br	0.377390258551472	1	0.545309933658346	NA	0.5	0.375876384547834	NA	0.5	0.131340501335143	NA	NA	NA	NA	0.223908921624042	0.776091078375958	0.348937110451198
Knipolegus_aterrimus	hypo_wi	0.272437963216275	1	0.609355204383799	NA	0.5	0.032833363910678	NA	0.5	0.0529503125823566	NA	NA	NA	NA	0.199938426013256	0.800061573986744	0.489737687687977
Knipolegus_cyanirostris	real	0.244288118476275	1	0.603779478456405	NA	0.5	0	NA	0.5	0.0290922300220028	NA	13.8089335986833	6.65689589921049	7.15203769947285	0.554814765705934	0.445185234294066	0.214655844012996
Knipolegus_cyanirostris	hypo_br	0.237519011387708	1	0.591360117731923	NA	0.5	0.166955006724343	NA	0.5	0.117234137195849	NA	NA	NA	NA	0.557436800584412	0.442563199415588	0.324149251253598
Knipolegus_cyanirostris	hypo_wi	0.156811826506785	1	0.654878549996875	NA	0.5	0	NA	0.5	0.002227201485134	NA	NA	NA	NA	0.681955675449112	0.318044324550888	0.491954588479888
Knipolegus_franciscanus	real	0.000889767078997239	1	0.628866954003523	NA	1	0.0377306261183109	NA	0.5	0	NA	10.8425203516714	4.81042245255408	6.03209789911731	0.997944863233654	0.00205513676634573	0.99551831883011
