Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Coloeus_dauuricus	real	0.309618615661956	1	0.637738243905079	NA	0.5	0.0332252199389022	NA	0.5	0.212887600842565	NA	13.6380125726785	6.89254002176962	6.74547255090884	0.147354287473384	0.852645712526616	0.406525288086662	mig	Corvus
Coloeus_dauuricus	hypo_br	0.542636211794436	1	0.648906814357563	NA	0.5	0.240999663519951	NA	0.5	0.0273927210142878	NA	NA	NA	NA	0.0595074695130021	0.940492530486998	0.229994444706091	mig	Corvus
Coloeus_dauuricus	hypo_wi	0.421006093191423	1	0.699809739906852	NA	0.5	0	NA	0.5	0.19207410162566	NA	NA	NA	NA	0.0958469693888396	0.90415303061116	0.156887287474859	mig	Corvus
Coloeus_monedula	real	0.318788589570362	0.5	0.151397336392029	NA	0.5	0.00636315902303808	NA	0.5	0.242781046907438	NA	13.193278520022	6.370756460355	6.82252205966701	0.467244043957085	0.532755956042915	0.0831358436372092	mig	Corvus
Coloeus_monedula	hypo_br	0.277829268798628	0.5	0.141860044627408	NA	0.5	0.101788694795813	NA	0.5	0.0370878225046971	NA	NA	NA	NA	0.539433908599323	0.460566091400677	0.132489792034318	mig	Corvus
Coloeus_monedula	hypo_wi	0.248253827560278	0.5	0.130139045766128	NA	1	0.530585120867856	NA	0.5	0.120510310825373	NA	NA	NA	NA	0.580718568386697	0.419281431613303	0.180005648903075	mig	Corvus
Corvus_albicollis	real	0.53194795401367	1	0.585221170513981	NA	0.5	0.0724946999089726	NA	1	0.618937426503894	NA	14.3265878635812	7.11624068241621	7.21034718116497	0.0931453084593208	0.906854691540679	0.109277986731329	res	Corvus
Corvus_albus	real	0.661993674561163	0.5	0.377469359709435	NA	0.5	0.217133738149163	NA	0.5	0.165429457897568	NA	15.3451100667066	7.84003367100861	7.50507639569796	0.000185630871632975	0.999814369128367	0.0704501628719593	res	Corvus
Corvus_brachyrhynchos	real	0.576919935539605	0.5	0.396728658802853	NA	0.5	0.0140958412756255	NA	0.5	0.116285138424725	NA	14.9742365158204	7.37363850278838	7.60059801303207	0.0427554457546996	0.957244554245301	0.0227015786656246	mig	Corvus
Corvus_brachyrhynchos	hypo_br	0.673248568434417	0.5	0.428167765572675	NA	0.5	0.265311080473314	NA	0.5	0.531007356550629	NA	NA	NA	NA	0.0349436030474313	0.965056396952569	0.0194947164622002	mig	Corvus
Corvus_brachyrhynchos	hypo_wi	0.599440928075549	0.5	0.460984546251884	NA	0.5	0.0136687079851949	NA	0.5	0.333461139832971	NA	NA	NA	NA	0.114691235080587	0.885308764919413	0.020536469185556	mig	Corvus
Corvus_capensis	real	0.821273016959379	0.5	0.503939191635296	NA	0.5	0.0674887094414016	NA	0.5	0.389556041167573	NA	14.6118153792595	7.26097708503168	7.35083829422783	0.0319938533123614	0.968006146687639	0.0187695899329341	res	Corvus
Corvus_caurinus	real	0.0482391157631292	1	0.184927404046841	NA	1	0.435407703580993	NA	0.5	0	NA	14.1502330416457	6.68592522820138	7.46430781344429	0.897345143271532	0.102654856728468	0.81976951032906	res	Corvus
Corvus_corax	real	0.653906707091606	0.5	0.169201752115227	NA	0.5	0.0574120163164341	NA	0.5	0.171630619710494	NA	14.2388210428813	7.16428190564537	7.07453913723597	0.0279227210437847	0.972077278956215	0.124032856430927	mig	Corvus
Corvus_corax	hypo_br	0.668543809646197	0.5	0.168857971418346	NA	0.5	0.0665244792746083	NA	0.5	0.10749522576039	NA	NA	NA	NA	0.0263673724402917	0.973632627559708	0.124587575119979	mig	Corvus
Corvus_corax	hypo_wi	0.654668071471951	0.5	0.169890504681308	NA	0.5	0.171635994467559	NA	0.5	0.408847971230457	NA	NA	NA	NA	0.0231674420783162	0.976832557921684	0.141995774467846	mig	Corvus
Corvus_cornix	real	0.337409927299679	1	0.425436977133233	NA	0.5	0.0178880680607354	NA	0.5	0.13977496171543	NA	13.5108405019406	6.46462378058565	7.04621672135493	0.221154505297603	0.778845494702397	0.0866356687008204	mig	Corvus
Corvus_cornix	hypo_br	0.393767329427287	1	0.546445560317316	NA	0.5	0.155941316065859	NA	0.5	0.100689071405498	NA	NA	NA	NA	0.0632069634408852	0.936793036559115	0.0759160430107286	mig	Corvus
Corvus_cornix	hypo_wi	0.404570641672757	1	0.44750294809529	NA	0.5	0.0965811259878743	NA	0.5	0	NA	NA	NA	NA	0.168092459312983	0.831907540687017	0.164645140855771	mig	Corvus
Corvus_corone	real	0.372591977057647	0.5	0.125506407826939	NA	0.5	0.0835563254325787	NA	0.5	0.286368490339391	NA	14.194405338332	6.90722548481453	7.28717985351745	0.402585148470876	0.597414851529124	0.0600670875992842	mig	Corvus
Corvus_corone	hypo_br	0.350806771826362	0.5	0.122344294691059	NA	0.5	0.0709610355712791	NA	0.5	0.0961864658603248	NA	NA	NA	NA	0.414645173000707	0.585354826999293	0.0781275739300814	mig	Corvus
Corvus_corone	hypo_wi	0.346778773193052	0.5	0.111871716804985	NA	0.5	0.0469165228770294	NA	0.5	0.11008573242964	NA	NA	NA	NA	0.463140735543391	0.536859264456609	0.0755327682323356	mig	Corvus
Corvus_coronoides	real	0.288892277008976	0.5	0.125256440153963	NA	0.5	0.155716999737859	NA	0.5	0.00697732068357315	NA	14.699595264184	7.35565939568987	7.34393586849418	0.468940328419606	0.531059671580394	0.478668136620869	res	Corvus
