Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Psophocichla_litsitsirupa	real	0.601465438574728	0.5	0.552282138438658	NA	0.5	0.054650900457701	NA	0.5	0.294757991383035	NA	14.4880604519982	7.18533775042657	7.30272270157166	0.0976570231585897	0.90234297684141	0.0344672614378509	res	Turdus
Turdus_abyssinicus	real	0.665480321545065	0.5	0.643671079847979	NA	0.5	0.316362512158951	NA	0.5	0.353959056981543	NA	14.3655775684703	7.17369367674263	7.1918838917277	0.045340959551025	0.954659040448975	0.0541326681364215	res	Turdus
Turdus_albicollis	real	0.581404248848149	0.5	0.500997377593317	NA	0.5	0.0573233010146524	NA	0.5	0.0270103732482839	NA	14.0330266481812	6.7883673924529	7.24465925572834	0.10609574040851	0.89390425959149	0.0225521803741406	res	Turdus
Turdus_albocinctus	real	0.347397832377397	0.5	0.320361835205258	NA	0.5	0.0405350172101308	NA	0.5	0	NA	13.5544272944513	7.35430439774771	6.20012289670362	0.0135468175034513	0.986453182496549	0.505941081310404	mig	Turdus
Turdus_albocinctus	hypo_br	0.357794375084849	0.5	0.297573581926937	NA	1	0.370175260220401	NA	0.5	0.0609593541473	NA	NA	NA	NA	0.0207910751579582	0.979208924842042	0.485505477402084	mig	Turdus
Turdus_albocinctus	hypo_wi	0.359463774503179	0.5	0.277281515489807	NA	0.5	0.0156003729988271	NA	0.5	0.235415045112819	NA	NA	NA	NA	0.0166046905971811	0.983395309402819	0.48107673053728	mig	Turdus
Turdus_assimilis	real	0.359262898491861	0.5	0.289033312614458	NA	0.5	0.204656074501199	NA	0.5	0.183625979181179	NA	14.2117470813289	7.11696118482696	7.09478589650197	0.314556117692124	0.685443882307876	0.279039141894484	res	Turdus
Turdus_atrogularis	real	0.318542032504779	1	0.338291612958918	NA	0.5	0	NA	0.5	0.230471181412228	NA	12.8021619524464	5.87541843073432	6.92674352171206	0.440068797261157	0.559931202738843	0.0485438392779156	mig	Turdus
Turdus_atrogularis	hypo_br	0.0581594709603407	1	0.158632008193056	NA	0.5	0.0383941726273317	NA	0.5	0.0234501826837004	NA	NA	NA	NA	0.219496953827372	0.780503046172628	0.763524562305918	mig	Turdus
Turdus_atrogularis	hypo_wi	0	1	0.0673968022999842	NA	1	0	NA	1	0	NA	NA	NA	NA	1	0	1	mig	Turdus
Turdus_boulboul	real	0.351644766957226	0.5	0.225351797337973	NA	0.5	0.137831549697204	NA	0.5	0.00371332944418012	NA	14.0320116652802	7.53892836805209	6.49308329722811	0.0682524869071113	0.931747513092889	0.407616949987634	mig	Turdus
Turdus_boulboul	hypo_br	0.13072214171958	1	0.184407621642119	NA	0.5	0.00443013169270368	NA	0.5	0.0479306433563692	NA	NA	NA	NA	0.0468061738230612	0.953193826176939	0.493049504839058	mig	Turdus
Turdus_boulboul	hypo_wi	0.328736979341009	0.5	0.171926143948027	NA	0.5	0.100231450921537	NA	0.5	0.00751841601315517	NA	NA	NA	NA	0.109891020681031	0.890108979318969	0.542340838843736	mig	Turdus
Turdus_cardis	real	0.274522299776463	1	0.311671043469885	NA	0.5	0	NA	0.5	0.0772302112923189	NA	12.6644942962228	6.80690582369446	5.85758847252837	0.378914912172203	0.621085087827797	0.731414448439513	mig	Turdus
Turdus_cardis	hypo_br	0.00850365465900105	1	0.163329300837199	NA	1	0.0446128106341755	NA	0.5	0	NA	NA	NA	NA	0.988046324973411	0.0119536750265887	0.992476910823637	mig	Turdus
Turdus_cardis	hypo_wi	0.0259011131300764	1	0.117774861953315	NA	0.5	0	NA	0.5	0.000650643549895524	NA	NA	NA	NA	0.946605912925416	0.053394087074584	0.96619619328305	mig	Turdus
Turdus_chiguanco	real	0.484710291394067	0.5	0.294428869505508	NA	0.5	0.00755112668887881	NA	0.5	0.0668474615218653	NA	14.7977579804219	7.30987015209681	7.4878878283251	0.246215655329933	0.753784344670067	0.150112047064318	res	Turdus
Turdus_daguae	real	0.574873098061475	1	0.620502988574289	NA	0.5	0.381032080366424	NA	0.5	0.0144692268175026	NA	13.9130255418162	7.02399400114884	6.88903154066736	0.0228176746256243	0.977182325374376	0.0920089551513376	res	Turdus
Turdus_dissimilis	real	0.14967428876884	1	0.285003518261906	NA	0.5	0.114354292552452	NA	0.5	0.000394430206712593	NA	13.3364673866465	7.21976961119927	6.11669777544722	0.157285346620115	0.842714653379885	0.621326466907066	mig	Turdus
Turdus_dissimilis	hypo_br	0.113147260143694	1	0.229415543677952	NA	0.5	0.0109158159082036	NA	0.5	0.09394635046466	NA	NA	NA	NA	0.165225432903832	0.834774567096168	0.643835687310792	mig	Turdus
Turdus_dissimilis	hypo_wi	0.136079212594288	1	0.211707013907126	NA	1	0.196504057580549	NA	0.5	0.0637863195284286	NA	NA	NA	NA	0.204384994501776	0.795615005498225	0.669647269447243	mig	Turdus
Turdus_eunomus	real	0.338326540964986	1	0.397885477096261	NA	0.5	0.00531603424246618	NA	0.5	0.0166167609253393	NA	12.3898466622905	5.72677010299891	6.66307655929156	0.457032158581391	0.542967841418609	0.0166075000753886	mig	Turdus
Turdus_eunomus	hypo_br	0.0185520843308736	1	0.257632260730422	NA	0.5	0	NA	1	0.105896394628714	NA	NA	NA	NA	0.71715373696324	0.28284626303676	0.894164732177594	mig	Turdus
