Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Alopochelidon_fucata	real	0.543575884105725	0.376237623762376	0.533922024861822	0.00224123324999505	0.128712871287129	0.215821583657485	0.0213731415571741	0.099009900990099	0.22662649005461	0.0180963055748489	14.1303217523145	7.16280218624088	6.96751956607357	0.0386643948724673	0.961335605127533	0.112593322119644	mig	Hirundinidae
Alopochelidon_fucata	hypo_br	0.468788607957985	0.594059405940594	0.470756385630142	0.0018383673703331	0.108910891089109	0.182602055238896	0.0178874393804712	0.207920792079208	0.248973610118655	0.019161774704049	NA	NA	NA	0.049775881525521	0.950224118474479	0.151364214763839	mig	Hirundinidae
Alopochelidon_fucata	hypo_wi	0.446105238316593	1	0.521964375746859	0.00218816546809236	0.128712871287129	0.186088608501704	0.0179722543329004	0.118811881188119	0.207667425094773	0.0172515067277107	NA	NA	NA	0.0513477949931161	0.948652205006884	0.200563425260176	mig	Hirundinidae
Atticora_fasciata	real	0.591285774554453	0.0099009900990099	0.306964760261036	0.0010061841012837	0.0396039603960396	0.178387408676534	0.0171637937603967	0.0792079207920792	0.224800243109315	0.0190767015437975	13.8718489188357	6.97683846940416	6.89501044943152	0.0188987899342083	0.981101210065792	0.201922717048034	res	Hirundinidae
Atticora_melanoleuca	real	0.456997297162789	0.0099009900990099	0.311488105641967	0.00185270950347561	0.0198019801980198	0.208949023400709	0.0133729145258459	0.138613861386139	0.211224682330007	0.0181860386919141	14.2715091259276	7.20458587315633	7.0669232527713	0.0770703691078208	0.922929630892179	0.31359567688807	res	Hirundinidae
Cecropis_abyssinica	real	0.795987986437856	0.0099009900990099	0.609471679714783	0.00136306319441883	0.0099009900990099	0.260108497637674	0.0150717308234297	0.0198019801980198	0.173651317115652	0.019181074741562	15.5681015604077	7.86312246512578	7.70497909528196	0.00498704899952784	0.995012951000472	0.0470379753788462	mig	Hirundinidae
Cecropis_abyssinica	hypo_br	0.817604394097795	0.0099009900990099	0.641347965638045	0.00143586791284581	0.0099009900990099	0.279581585439277	0.0193444480682946	0.0099009900990099	0.172554285062674	0.0178176778159006	NA	NA	NA	0.0037485134276039	0.996251486572396	0.0410086867438241	mig	Hirundinidae
Cecropis_abyssinica	hypo_wi	0.811698436657402	0.0099009900990099	0.607823261493414	0.00128856907026373	0.0099009900990099	0.260722070159441	0.0169764555164947	0.0198019801980198	0.179461408439313	0.0189074836916371	NA	NA	NA	0.00395870940252536	0.996041290597475	0.0422785905079358	mig	Hirundinidae
Cecropis_badia	real	0.314821472803135	1	0.621041324198607	0.00701982030817358	0.0693069306930693	0.0683912094074657	0.0116938759138074	0.0792079207920792	0.0936990062860187	0.0119830533594128	10.7302103345001	4.77687660634103	5.95333372815907	0.606755958320661	0.393244041679339	0.0105401249170645	res	Hirundinidae
Cecropis_cucullata	real	0.41717930319815	0.821782178217822	0.436087762325373	0.00200118174190693	0.0891089108910891	0.134372569255259	0.0145149279259342	0.128712871287129	0.196547904174599	0.0159310172399392	14.1748901385462	7.27972438999449	6.8951657485517	0.115724179018448	0.884275820981552	0.366838911084078	mig	Hirundinidae
Cecropis_cucullata	hypo_br	0.286840092088079	1	0.483430754724441	0.00197421570229426	0.237623762376238	0.184150617179137	0.0141768775498393	0.336633663366337	0.210033739565136	0.0191758098163582	NA	NA	NA	0.230652901221843	0.769347098778157	0.247463234598273	mig	Hirundinidae
Cecropis_cucullata	hypo_wi	0.232691923693652	1	0.2684320170233	0.00159987748446149	0.396039603960396	0.215543253255944	0.0202412768912024	0.405940594059406	0.186085284448289	0.0176971898382941	NA	NA	NA	0.49517647859981	0.504823521400189	0.61770711332687	mig	Hirundinidae
Cecropis_domicella	real	0.566211440898959	0.0099009900990099	0.370698637511434	0.00272959614477373	0.0693069306930693	0.260587380264181	0.0172639160076615	0.0693069306930693	0.261029922809403	0.0167922428338378	15.0127907667938	7.45303844245352	7.55975232434029	0.272619190779319	0.727380809220681	0.0780209624697415	mig	Hirundinidae
Cecropis_domicella	hypo_br	0.529709052370565	0.0099009900990099	0.33835149371538	0.00102762817387197	0.0693069306930693	0.28471054022292	0.0156319050688423	0.118811881188119	0.276770153522521	0.0173311368516195	NA	NA	NA	0.12721631749677	0.87278368250323	0.125562386649456	mig	Hirundinidae
Cecropis_domicella	hypo_wi	0.508791758944794	0.0099009900990099	0.328121288657839	0.00338882252658844	0.148514851485149	0.249872441947719	0.0182763240435969	0.128712871287129	0.256337863142847	0.018670130975829	NA	NA	NA	0.267628213155327	0.732371786844673	0.384500438319931	mig	Hirundinidae
Cecropis_hyperythra	real	0.217435433092203	0.99009900990099	0.399876094455581	0.00863309862051184	0.188118811881188	0.0909892439221929	0.0130942885485119	0.148514851485149	0.087368471280806	0.0146407520588555	11.1641200514423	5.22450174836349	5.93961830307883	0.479971240429567	0.520028759570433	0.0850207405837925	mig	Hirundinidae
Cecropis_hyperythra	hypo_br	0.217435433092203	0.98019801980198	0.404815828180901	0.00834917862901308	0.247524752475248	0.113977786523412	0.0143969870447868	0.118811881188119	0.078978141586272	0.0117991031441061	NA	NA	NA	0.479971240429567	0.520028759570433	0.0850207405837925	mig	Hirundinidae
